nameCn,excelWetWeightMg,builtinWetWeightMg,diff,relDiff,excelLatin,builtinLatin,alias
咽拟斜管虫,0.00005,0.00005,0,0,Chilodonella vorax Stokes,Chilodonella vorax Stokes,
瓜形膜袋虫,0.000007,0.000007,0,0,Cyclidium citrullus Cohn,Cyclidium citrullus Cohn,
鞭膜袋虫,0.0000017,0.0000017,0,0,Cyclidium flagellatum Kahl,Cyclidium flagellatum Kahl,
银灰膜袋虫,0.0000012,0.0000012,0,0,Cyclidium glaucoma Muller,Cyclidium glaucoma Muller,
苔藓膜袋虫,0.0000017,0.0000017,0,0,Cyclidium muscicola Kahl,Cyclidium muscicola Kahl,
无秽累枝虫,0.000002,0.000002,0,0,Epistylis anastatica Linne,Epistylis anastatica Linne,
湖生累枝虫,0.000002,0.000002,0,0,Epistylis lacustris Imhoff,Epistylis lacustris Imhoff,
阔口游仆虫,0.00045,0.00045,0,0,Euplotes eurydtomus Wrzeniowsky,Euplotes eurydtomus Wrzeniowsky,
土生游仆虫,0.000016,0.000016,0,0,Euplotes terricola Penard,Euplotes terricola Penard,
大弹跳虫,0.0000099144,0.000003,0.0000069144,2.3048,Hlateria grandinella,Halteria grandinella O.F.Muller,
欠安尖毛虫,0.0008,0.0008,0,0,Oxytricha inquieta Stokes,Oxytricha inquieta Stokes,
绿草履虫,0.0013,0.0013,0,0,Paramecium bursaria Focke,Paramecium bursaria Focke,
尾草履虫,0.0013,0.0013,0,0,Paramecium caudatum Ehr,Paramecium caudatum Ehr,
紫晶喇叭虫,0.00005,0.00005,0,0,Stentor amethystinus Leidy,Stentor amethystinus Leidy,
多形喇叭虫,0.00003,0.00003,0,0,Stentor multimormis （O.F.Muller）,Stentor multimormis （O.F.Muller）,
具柄侠盗虫,0.000015,0.000015,0,0,Strobilidium calkinsi Faure-Fremi et Calkins,Strobilidium calkinsi Faure-Fremi et Calkins,
旋回侠盗虫,0.00003,0.00003,0,0,Strobilidium gyrans Stokes,Strobilidium gyrans Stokes,
旋回拟急游虫,0.00002,0.00002,0,0,Strombidinopsis gyrans Kent.,Strombidinopsis gyrans Kent.,
